id,sentiment
OffTopic: 1. Signup using login code: 7D5YJM to earn Rs.200 on Ola app.,movie
2. Earn double talktime by registering via h t t p : / / g o o . g l / pNWdWM (remove spaces) limited offer! Hurry! T&C - install any other app inside after registration for successful credits.,movie
Timepass,movie
one time watch,movie
good movie,movie
"""Super movie........ Song Marjan Mainu Marjana is awsom, The best acting no 1 is (Priya) Pooja thakur.....""",movie
good,movie
Uninspiring movie. I shall flip channels even if the movie is on tv,movie
no 1 movie all song are super hit the best acting no 1 is ravi kishan and avya agarwal,movie
it looks ok,movie
ok.,movie
Not good movie,movie
The movie is ok you can watch once ..............,movie
watcheble,movie
nice movie,movie
The Dabangg-esque climax is predictable but probably the most effective sequence in this formulaic film.,movie
What could have been a decent revenge drama gets marred by uninspiring (hero) & overdramatic (heroine & the villain) acting.,movie
Great Movie,movie
avg mve,movie
One time watch movie.,movie
Just below average scoring 1.7/5.0 scale.,movie
o..k,movie
not interested.............,movie
Routine story line. Nothing new,movie
"""Stray Dogs in a very, very bad way!""",movie
can be seen,movie
"""Bearing an uncanny resemblance to Hollywood psychological thriller Straw Dogs,""",movie
Average,movie
avg,movie
Must watch..beautiful mssg..soothing music..,movie
okay,movie
Must watch...,movie
OffTopic: 1. Signup using login code: 7D5YJM to earn Rs.200 on Ola app.,movie
2. Earn double talktime by registering via h t t p : / / g o o . g l / pNWdWM (remove spaces) limited offer! Hurry! T&C - install any other app inside after registration for successful credits.,movie
Timepass,movie
one time watch,movie
Average movie,movie
I liked Parambrata in Kahaani but this movie sounds really silly.,movie
Love the movie for its concept. Its india's pretty women. I'd say there are faults in the execution but the heart is at the right place. Overall its a gripping film with some brilliant music.,movie
"""Yaar, it is a silly movie. Better stay away from it!""",movie
looks like fun,movie
1.6/5.0 is my rating for this failure movie.,movie
not a good one can watch on tv but theater is a big no,movie
Very bad movie.,movie
ok,movie
time pass movie,movie
Its okay..........,movie
"""Loved reading this review, star for the same, not movie!""",movie
niceone,movie
"""It is Good movie one can watch once, now a days most oh the movies are like this one can watch""",movie
Yaara Silly Silly is sillier than it claims to be. Avoid it and spare yourself the challenge of surviving this vile affair.,movie
"""The Movies name should be only Silly Silly instead of Yaara Silly SIlly ,Cuz it is a Silly movie""",movie
Well made movie.Dont expect entertainment,movie
Not much interested.,movie
ok,movie
ok one......,movie
hopeless movie,movie
movie Yaara Silly Silly is worth watching. goes with new twin soul concept..beautiful chemistry of Bengali Actors..soulful music of Ankit Tiwari...Directors thoughtfull mssg for younger generation is accomplished in the movie..Fresh Actors also impressive..,movie
born to fall in love..... beautiful love chemistry with soothing melody by #AnkitTiwari,movie
The story keeps harping on how two people complete each other,movie
poor,movie
"""Surprisingly a nice story-line, and a definitely watchable movie!!""",movie
it's a good movie........... big blast in small box.............,movie
really a nice story should watch this movie,movie
Titli is not for the faint-hearted as it not only introduces you but makes you feel a part of the family that gives you the creeps.,movie
it is nice simple light movie,movie
A must watch movie !!,movie
nice drama,movie
really a nice story should watch this movie,movie
not bad...we can watch the movie,movie
nice watch,movie
watchable,movie
it's a good movie.. ....,movie
it's a good movie..........,movie
it's a good movie........... big blast in small box....,movie
OffTopic: 1. Signup using login code: 7D5YJM to earn Rs.200 on Ola app.,movie
2. Earn double talktime by registering via h t t p : / / g o o . g l / pNWdWM (remove spaces) limited offer! Hurry! T&C - install any other app inside after registration for successful credits.,movie
okay,movie
Good,movie
One time watch,movie
Definitely one among the best in this years releases,movie
good film,movie
One time watchable movie but,movie
one can sure to get something fresh from this new,movie
A light watchable movie!!!!!!,movie
One time,movie
very nice,movie
good,movie
Titli is an well made movie its not for the faint-hearted.,movie
ok movie but can be improved by making some effective dialog making,movie
good movie but starcast missing,movie
good story & watch one time,movie
watchable,movie
watchable,movie
"""Kanu Behl's promising debut is a riveting account of survival, unfulfilled dreams, emotional meltdowns and crime. Set in Delhi's dystopic underbelly, the film terrifyingly lingers in your mind long after you've seen it.""",movie
"""A good story line, and a watch-able movie.""",movie
watchable,movie
good and nice base line,movie
a little different story,movie
a little different,movie
nice story....,movie
nice movie must watch,movie
"""surprisingly a very terrific movie and that is from a new director hats off to him for making such a hard hitting movie brilliant story, gripping direction, power packed performances specially by ranvir shorey he gave his best one should like to see him again & again it freezes your blood and give strong message. a must watch movie. such a director kanu behl are real future of ourcinema""",movie
good movie,movie
Surprisingly good movie.....,movie
Good movie to watch.,movie
good movie,movie
interesting movie with different story and direction is good,movie
nice,movie
Watchable movie,movie
Good one!,movie
good movie... good story...,movie
"""HELLO FRIENDS !!! PLEASE PAY ATTENTION, These eCommerce companies are cheating us, search this video on YouTube: an eye opener and telling how YOU CAN EARN 20,000 and more per month with NO INVESTMENT using social media search on youtube 'Get NO more fooled, A real Eye opener for social media'""",movie
its always watchable when its low budget movie ..!!!,movie
Looked average though performance was so natural. Very slow movie. Few scenes were shown for a long time may be to increase the movie length.,movie
Looked average though performance was so natural. Very slow movie. Few scenes were shown for a long time may be to increase the movie length.,movie
fvbh,movie
fvbh,movie
cvv,movie
Can be seen once.,movie
Surprisingly a nice story-line,movie
nice movie..watchable,movie
"""Really, a Good Story based film""",movie
chalati hai... dekho.,movie
"""Sharp performances, crisp editing and brilliant story telling make up for an awesome film and Titli has all these elements. Movie goers are sure in for a treat. If you are a fan of bubblegum romance, then please stay away from this flick for it will force you to ask rather uncomfortable questions about life.""",movie
this looks ok,movie
zero,movie
zero,movie
Nice movie. Watchable.,movie
good movie,movie
one time watch,movie
"""They are not one-dimensional, which makes you empathise with them despite their eccentricities. Brutally real, Titli is essentially a disturbing tale on deep-rooted frustration and a sense""",movie
OKAY,movie
"""The father on the contrary, nonchalantly watches his elder sons partaking in nefarious activities, as long as they put food on the table. With no steady income at hand, the family unapologetically resorts to crime. In order to clip his wings, they get Titli married to naive but headstrong Neelu (Shivani Raghuvanshi). She secretly harbours her own set of dreams. Can the two escape the family trap?""",movie
"""Titli is a 2015 Bollywood drama film written and directed by Kanu Behl, co-produced by Dibakar Banerjee Productions Pvt. Ltd and Aditya Chopra under the banner of Yash Raj Films""",movie
goodf,movie
Superb film.....,movie
good,movie
Its a nice movie with old typical bollywood family twists. In fact I would rate it the best movie in the year so far even better than Bajrangi Bhaijaan,movie
"""I will like to watch this movie, whenever possiblr""",movie
Good Watch!!!,movie
Review seems great must be very good movie,movie
good 'n' grasping review,movie
Good movie,movie
Beautiful Story telling!!,movie
Wonderful and much awaited movie. Acting is superb.,movie
one time watch,movie
good movie to watch,movie
good movie,movie
good one.................,movie
nice,movie
titli has tremendous acting by all including new comers. Good story but it could have been more taut and compelling. Overall it is worth seeing for serious peopple,movie
nice movie,movie
Its one time watch.,movie
nice movie. Kanu Behl makes a grittily impressive debut with this well-acted tale of a crime family in Delhi.,movie
good movie.........,movie
Found it very cute and emotional...connects to heart..,movie
vbhj,movie
vbhj,movie
vvbbb,movie
not goodmovie ...,movie
not good,movie
Biopics are always a difficult challenge as people already know the end result. Having audience engrossed requires lot of research and some extra spice too. Considering all that its a decent attempt!!,movie
The film looks a realistic account on the intriguing life of Charles Sobhraj. The 70's hippie culture is well depicted. The background score is fantastic. Randeep Hooda resembles Charles and also delivers a good performance.,movie
"""Most of the supporting cast is good, but Adil Hussain is a notch above.""",movie
one time watch movie,movie
its just watchable that's it...,movie
one time wonder,movie
One time watch for Randeep fans....,movie
One time watch for Randeep fans..,movie
Good one,movie
good,movie
i liked the movie as i like con movies.. definitely a one time watch..,movie
not goodmovie .,movie
OffTopic: 1. Signup using login code: 7D5YJM to earn Rs.200 on Ola app.,movie
2. Earn double talktime by registering via h t t p : / / g o o . g l / pNWdWM (remove spaces) limited offer! Hurry! T&C - install any other app inside after registration for successful credits.,movie
average movie,movie
Good,movie
one time watch....,movie
it could have been better.....,movie
seems lack of research done on the subject....,movie
Lot of plots missing in the film....,movie
It's a slow motion movie and picturization revolves around the same concept.,movie
So not a good movie :(,movie
Very nice movie for them who can understand or else very boring.,movie
nice movie....,movie
the director tried his best levels to make the movie. this is it all we can say...good luck,movie
must watch,movie
it was difficult for me to pass time,movie
Good movie interesting for one time watch,movie
above average movie .,movie
Nice movie with a watch,movie
One time watch.,movie
NG,movie
great watch,movie
The 70's hippie culture is well depicted. The background score is fantastic. Randeep Hooda resembles Charles and also delivers a good performance.,movie
above average,movie
good,movie
Main Aur Charles is an decent movie already known story for most of us but still entertaining movie.,movie
average movie,movie
Biopics are always a difficult challenge as people already know the end result. Having audience engrossed requires lot of research and some extra spice too.,movie
It can be watch,movie
definitely a one time watch.,movie
one time watchable..........,movie
went to watch acting of Randeep and i like it...rest movie is ok ok ...,movie
"""Working on a wafer-thin account given to him by the real-life Delhi cop, Amod Kanth, Raman still manages to infuse life (at least partly) into this film and into the life of the notorious killer.""",movie
boring,movie
A very nice and different kind of movie,movie
nice to c,movie
"""Intense,Thrilling and well executed tale on Charles Shobhraj""",movie
watchable,movie
Watchable...,movie
Hopeless,movie
work hard to portrait it into real life story,movie
"""I dont understand need of making movies on criminals,If anybody is interesting in making movies on biopics only other inspiring characters can be found in country what is the need of glorifying a criminal. charles shobhraaj is a criminal and should be treated like that only.what message bolllywood want to give to society""",movie
bore,movie
bore,movie
avg mve,movie
first half of movie is really pathetic..,movie
nice one,movie
this movie has a realistic view....,movie
inspired by real story,movie
good movie who like classical movie that's a best option to watch good story line,movie
Randeep fans....Must watch movie....,movie
good insights in the movie,movie
movie trailer is good but movie not to the expected level,movie
nice movie,movie
Movie is an good attempt in bringing out nuances of Charles Sobhraj saga. Though story details are sketchy but the performances of Randeep and Richa are first rate. Director Raman creates an era which beautifully compliments to narrative. Though there is nothing motivating in the story of Charles except that crime never pays is worth watching for cinematic excellence. Regards Ashok Goswami,movie
bakwas and badvmovie. notbsure why 3 rating,movie
bakwaas movie,movie
"""Bollywood is turning Edgy""""... Main Aur Charles Biography was Hollywood style....Good Movie...Keep making movies like this...""""""",movie
One time watch,movie
good movie more to learn about such people and how there pschology works,movie
"""Huda and Richa have done a good job. Overall a nice movie to watch. People who like once upon a time in Mumbai, might like it as well""",movie
"""A Delhi top-cop Amod Kanth (Adil) is on the trail of the international con-man and 'lady' killer Charles Sobhraj(Randeep). So are the cops in Thailand, Mumbai and Goa. Will Charles land in their dragnet?""",movie
watchable..,movie
One time watch for Randeep fans....,movie
Biopic of a criminal and focuses on the killings and his view of life and enjoyment. Could have been better made with more interesting presentation,movie
"""Can be seen once, at least""",movie
Indian filmmakers should learn from this and look to biopics more often. They'll get quality material for their films and the audiences will get engaging tales on characters that are a lot more believable and layered. Prawaal Raman certainly made the best film of his life trailing the exploits of Charles Sobhraj in India. He's got Randeep Hooda to thank in big measure because the actor relives Sobhraj in a power packed performance. I would recommend this,movie
watchable..,movie
hope to see this flick very soon,movie
bejaar,movie
bejaar,movie
Watchable,movie
okay,movie
just awwwwwwsssssssooooooooommmmmeeeeeeeeee.....,movie
Randeep Huda acting as bikini killer Charles Sobhraj is superb as he recreates the satanic attraction of the notoriously nicknamed serpent most authentically,movie
"""Being a reality based narrative, it is gripping and shows the decadence of hippie culture of late sixties and seventies""",movie
How the movie failed to explain why the psychopathic killers was seducing unsuspecting women and then drugged them to death! Chaddha as young girl is infatuated to Sobhraj is also recreates the reality of the young Nepali girl marrying Charles older than her father,movie
It is a chilling tale and director has successfully receated the actual nerve racking horrendous crimes of the psychopath along with sheer incompetence of Indian police. Overall interesting and watchable!,movie
one time watch,movie
realistic movie v good .,movie
"""Prawal Ramans direction confuses at many places, he should have worked on story & dialogues to make movie interesting ,The positive point about the movie is Randeep Hooda fits perfectly as Charles Shobhraj & exceutes his role in stylish way, Richa chaddha is strictly o.k ,the surprisng point is adil hussain as cop performance is best in the movie, The negative point about the story is confusing & which can't keep the hold of audience""",movie
Meet him once and your life will change forever......,movie
"""The movie revolves around Charles, an enigmatic con man and a vicious killer, and the lives he touched with his inescapable charm and mysterious personality. ...""",movie
good,movie
Good one time watch!!!,movie
"""Hooda at his best after Highway,hats off to his accent""",movie
"""Hooda at his best after Highway,hats off to his accent""",movie
Good action thriler from Hooda.,movie
just ok,movie
Hooda Strikes back.... well done..,movie
Amazing biography. Superb acting by Hooda. Direction at its best.,movie
Charles Shobraj who kept news headlines in the early seventies is sure known to many for his passion of killing. This reflection of his crimes is now in the frames of this movie. Just fall in the watchable category - 3.1/5.0,movie
"""above average,,,,,,,,,,""",movie
watchable,movie
Good film must watch,movie
Great Movie to watch!!!,movie
"""The movie tells stories of boys like me. I left home at the age of 18, heard a lot of shil from people of different state.They just assumed that Biharis are thug$.Not even the professors in college spared us. To fight it all and make a life for yourself is tough.And why should anyone go through this meaningless struggle?To get what extra benefit? Do you know what impact can such experiences have on a young brain? We need the change.Better through movies than in real blood.""",movie
one time watch to know the story,movie
Very GoooooooD Movie.,movie
"""Prawaal Raman does a commendable job of recreating the 60s-70s. He also gets his protagonist's physicality and smugness bang on. Working on a wafer-thin account given to him by the real-life Delhi cop, Amod Kanth, Raman still manages to infuse life (at least partly) into this film and into the life of the notorious killer.""",movie
just watchable,movie
If there is Randeep Hooda...Movie itself becomes nice...,movie
"""RAndeep is a good actor, under-utilised in this movie. Could have been good movie, if executed well.""",movie
e,movie
must watch. randeep rocks,movie
it is ok ok movie wants to see life of Charles.but in my opinion why director are showing useless man pictures giving imporatance,movie
must watch movie........,movie
going to watch this one on Saturday... may be a good movie...,movie
good to watch,movie
what?,movie
"""Mumbai and Delhi. His modus-operandi is repetitive; he sleeps with his prey and then drugs them to death. You are also told he uses the passport of the women he kills to plan his next escape. Makes you ponder, was immigration that gullible? Anyway, the morally bankrupt hippie culture of that time helped this killing machine stay on a roll.""",movie
hws it?,movie
go and watch the movie for richa chadda,movie
"""Just saw Shandaar, must say I have to go to Rehab to overcome the loss it caused me mentally.""",movie
Itni ghatiya movie kasam se aaj tak nahi dkhi.,movie
Zindagi pyari hai to mat jana vrna suicide krna pad jayega....,movie
'I' movie me bolta hai na is se bhi bura. Isey dkhne k baad chup ho jayega vo bhi ki is se bura nahi ho skta...,movie
Absolutely brainless.. can't believe it's from the same director who made QUEEN. Was he smoking pot or something that he came up with 'Shaandar'.. it was not-SHANDAAR at all.,movie
Has turned out to be very disappointing considering the excitement it generated with the Promos!!,movie
not good,movie
"""watch this movie if you would like to bang your head against the person sitting in front of you.its a complete disaster ,hopeless type of movie.worst movie i ever saw.please do recommend it to you foes.""",movie
"""What a disgusting nd bakwaas movie,,,saalon ko dhang ki kahaani nhi milti ulti seedhi kuch bhi bana dete hain,,,, such a waste of money, can't see even in my laptop.""",movie
epic disaster flop hero after 12 years carrier shahid has proved himself nothing except 1 or 2 movie,movie
"""Shaandaar is designed like a contemporary fairy tale but it just doesnt work. Shahid Kapoor and Alia Bhatt look good individually but dont gell well as a pair. The film is overlong and even the climax doesnt make any sense. Coming from Vikas Bahl after 'Queen', its the mega disappointment of the year.""",movie
"""Please don't waste your time & money for this movie. Its one of the most boring films I have ever seen. In fact, I feel cheated by the Director & Screenplay writer. The Director, Mr. Vikas Bahl, riding high on the success of Queen"""" has taken the audience for granted. Can't understand why such good actors like Shahid & Pankaj Sir did this film.""""""",movie
"""Likes for all the comments below :-) Ekdum bakwaas , issey behthar toh ghar pe baith k teen ghante bhajan karlena sahi hoga ;-)""",movie
"""Towards the end of the movie there is a song Raita Phailgayaa"""" and for all those wise-heads who are well aware of the slang, the song pretty much sums up the feelings of the film caste, crew and audience alike ... Anticipated much form the director and actors par kya karein """"Raita Phailgayaa"""" . 1/5 stars from me""""""",movie
One of the biggest disappointments of the year certainly!!,movie
literally bakwass picture,movie
A time wasting experience.,movie
uchi dukaan phike pakwaan !,movie
Bhut bhut jyada bkwas,movie
Itni ghatiya ki interval me vapis aana pdega..,movie
Ahh.....why wud they thought of releasing this movie? I thought director would see it before releasing at least ;),movie
"""Vikas Bahl, what a Shaandaar piece of @#&*! This is the worstest of the worst movies ever made.""",movie
"""Guys, give it a skip. Girls, Shahid is available on YouTube.""",movie
"""Shaandaar is definitely going to be funeral for Vikas Bahl and Shahid Kapoor's career. Third degree torture"""" Worst movie of 2015. Haven't seen such a mindless movie before. How can class actor like Pankaj Kapur can go horribly wrong in movie selection for self and son Shahid.""""""",movie
Seriously Vikas Bahl what were you thinking when you made this film.,movie
Its such a disaster.Please don't waste your money and time on this movie.,movie
I fell sorry for Shahid Kapoor though. He should not have done this movie in the first place.,movie
"""A shaandar waste of time and money!!.. Had high hopes from the Queen fame director who did have a nice plot in mind which was horribly executed. There was overacting and overdressing of everything, some of the jokes were not even funny but embarrassing. Shahid Kapoor is the only saving grace in the film and all good actors are wasted. Sanah Kapoor is good as well.""",movie
epic disaster,movie
Watched it just for Shahid ...he was looking dam hot ..overall ok ..shahid alia fans will like the movie..others will search for script ..which to be fare is not so good ..i had a great time watching it..,movie
"""Seriously, how was anyone to guess that this is a cruel joke played by Bahl on his investors and perhaps on an unsuspecting audience.""",movie
ok ok,movie
"""Just saw Shandaar, must say I have to go to Rehab to overcome the loss it caused me mentally.""",movie
Itni ghatiya movie kasam se aaj tak nahi dkhi.,movie
Zindagi pyari hai to mat jana vrna suicide krna pad jayega....,movie
'I' movie me bolta hai na is se bhi bura. Isey dkhne k baad chup ho jayega vo bhi ki is se bura nahi ho skta...,movie
i get frusted,movie
Even Shahid and Aliyaa couldnt save this boring movie,movie
waste,movie
Waste of money and time to see this movie.,movie
"""watch this movie if you would like to bang your head against the person sitting in front of you.its a complete disaster ,hopeless type of movie.worst movie i ever saw.please do recommend it to you foes.""",movie
Absolutely brainless.. can't believe it's from the same director who made QUEEN. Was he smoking pot or something that he came up with 'Shaandar'.. it was not-SHANDAAR at all.,movie
watchable movie,movie
"""Just saw Shandaar, must say I have to go to Rehab to overcome the loss it caused me mentally.""",movie
Itni ghatiya movie kasam se aaj tak nahi dkhi.,movie
Zindagi pyari hai to mat jana vrna suicide krna pad jayega....,movie
'I' movie me bolta hai na is se bhi bura. Isey dkhne k baad chup ho jayega vo bhi ki is se bura nahi ho skta...,movie
how come such movies are coming now a days in bolly wood with such huge cast.Waste of money and energy to go to movies like this,movie
ghatiya movie,movie
The movie looked absolutely wonderful going by the promos. But the actual product seem to be far inferior!!!,movie
"""Just saw Shandaar, must say I have to go to Rehab to overcome the loss it caused me mentally. ..""",movie
OffTopic: 1. Signup using login code: 7D5YJM to earn Rs.200 on Ola app.,movie
2. Earn double talktime by registering via h t t p : / / g o o . g l / pNWdWM (remove spaces) limited offer! Hurry! T&C - install any other app inside after registration for successful credits.,movie
Good,movie
good but not shandar,movie
saanddaar was not so shandar.,movie
another worst movie of the 2015 both are bogus,movie
Not that great...must watch atleast once because its Dharma production (Destinations are awesome)..,movie
one of the worst movie,movie
The worst movie of shahid,movie
rather then spending lot of time and money on promotion the team should have worked hard with a good story line what a waste of time....,movie
this movie will be in top 3 of worst movies released in 2015.... all the best,movie
nice,movie
"""Shandaar, though critically abused by viewers, According to my view is a decent love story which takes you to a cute and enchanting fairy tale. It has awsome songs, yes a little hitchhiked on the story, but i can still watch it for Shahid! :)""",movie
Sometime it is hard to believe why people make such kind of movies. Money wasted,movie
it is not a shaandar movie.......,movie
Bad script..,movie
Absolutely brainless.. can't believe it's from the same director who made QUEEN. Was he smoking pot or something that he came up with 'Shaandar'.. it was not-SHANDAAR at all.,movie
good to see,movie
"""no nothing good, another waste of money""",movie
"""The only reason of my dislike was lack of a script. Other than that shots were excellent, and so were the on screen couple Shahid and Aalia. Did not expect such a flop show from such a talented team of directors actors.""",movie
"""Seriously a complete time pass, got confused what they are trying to show to the audience. Except few of them played their roles wisely nothing was promising.""",movie
Waste time and money..,movie
what a crab movie.. this Kapoor family wud be banned... I wud definately fight for my refund for my movie tickets......not even a one time watch.. plz don't see this bakwass movie,movie
shamitabh epic disaster 4 amitabh at 73 yrs of age but piku is top ten grosser in this year so amithabh position as mega star is intact as bhootnath return was also success last year.,movie
epic disaster bombay velvet roy shandar shamitabh shandar tevar,movie
vvv,movie
vvv,movie
not to the expectation,movie
terrible.. had to walk out in the interval..,movie
Poor movie,movie
lajabaab.. zabardast shaaandaaarrrr...,movie
"""One of the most bakwaas film of 2015. Yaar aisi filmein banate hi kyu ho, Uspar se zor shor ka promotion....public ka full c###I#@ kaatne ke liye.""",movie
What is this?? Nonsense at extreme.,movie
"""The movie tries to be one too many at the same time. All the drama, moral values, fairytale kinda setting, spoofy situations, weird characterisation and even some animation - the movie is more of a khichdi!! The tone is shifting with each scene and the characters keep your emotions at bay. No connect makes the proceedings disinteresting. Only a few scenes register some awe but not worth it!!!""",movie
good,movie
just ok,movie
A bit over the top comedy but watchable for once.,movie
"""Pankaj kapoor delivers a great dreamy scene, but few double meanings and misses make the film a bit bore.""",movie
The ending could have been better,movie
Nice time pass movie,movie
Nice time pass movie,movie
Movie adds on to the list of Shahid's Flop list. Only thing watch-able in the movie was Alia Bhatt. Thats it,movie
"""A Punjabi girl and a Sindhi groom are to have a destination wedding in Britain. Simultaneously, the bride's sister also gets romantically entangled with the wedding planner.""",movie
Shaandaar could have been better movie.,movie
disaster,movie
disappointment... Pankaj kapoor n shahid kapoor should have choosen some other movie for coming together on screen,movie
worst movie,movie
One time watch,movie
what's watchable in movie is alia's facial expression and the way she delivering her dialogues....Otherwise plot is loose and direction very poor....,movie
y,movie
Ghatia,movie
Ghatia,movie
Bakwasyyyggghh,movie
Bakwas,movie
H,movie
"""I was so desperately waiting for this movie..But, it didn't go as per my expectations...""",movie
Looks like very ordinary movie for kids only. There is no wow factor however small it may be...,movie
they did their best. I would say only this.,movie
Worst movie total flop movie why mall owner allowed such bad movies,movie
Nice Movie,movie
you can watch it once if you have nothing important to do,movie
tyg,movie
Not as good as expected...because the directory and cast of this movie has given so good movies that the expectation from this movie is so high..but they fail.,movie
But never the less the movie is one time watchable,movie
not worth watching,movie
Nice Movie,movie
Alia is delightfully pitch perfect in the way she tackles the role of a bright spark with the ability to wrap anybody and everybody around her little finger.,movie
"""bhaiya kyun pankaj kapoor ka naam kharab kar rahe ho,koi aur kaam dekh lo n let ppl do their work...""",movie
Outstanding movie,movie
But accha hai ..shahid I'd a good actor and alia is a very beautiful and sexy actress they as very suit in this movies,movie
Outstanding movie,movie
"""I would say, go and watch, but only if there nothing remains in life to do.""",movie
mmmmmmmmmmmmmmmmmmmmmmm,movie
"""First half is at least watchable but second half is a real mess, no story and not even proper context to sub-plots. Alia is good though.""",movie
The director should have hired a writer also. Surely he would have been budgeted for.,movie
Or maybe the locale got so expensive that they trimmed out the idea of having a script.,movie
Anyways.... its just another movie down the drain.,movie
"""You can defend the director's indulgence or even forgive him for borrowing Tarantino's Kill-Bill, part-animation, part-live narrative style to tell you the tale of an orphan girl who is given shelter by an affluent businessman, Bipin (Pankaj Kapur). The tycoon's harridan mum (Sushma Seth) and ambitious wife (Nikki Aneja) do not take a shine to the child. Even worse, the bechari anath is an insomniac. The story-telling attempt is wearisome. Years later,""",movie
Funny ..Good one,movie
nice story line is band but nice movie,movie
Nice Movie,movie
THIS MOVIE IS FUN PURE NON VULGAR COMEDY. I WOULD LIKE TO WATCH IT AGAIN,movie
Movie that is around wedding though we have seen many movies which has same theme of wedding but Shaandaar is of concept destination wedding.,movie
One must watch . Has different flavor in entertainment.,movie
just ok,movie
it deserves 1 star,movie
Waste of time & money ????,movie
Except Alia Bhatt nothing was Shandaar in the movie...really disappointed!!!,movie
oho no why shahid doing this kind of movie there is not single reason to watch this movie totally time wast,movie
"""The writers have tried to build-up a good climax, but the story is so predictable and the pressure to sound ‘funny’ is so much that they lose control.""",movie
"""story starts going wayward once the premise is set. More than a business tycoon, Sushma Seth looks like a conniving mother-in-law. She is the most caricatured character of the film.""",movie
"""A long prologue coupled with an animation sequence marks the opening of Shaandaar, and within minutes we’re introduced to the primary characters""",movie
"""Vipin Arora (Pankaj Kapur) and his family live obliged to Mummy Jee (Sushma Seth), a matriarch whose shot is always at the money. Mummy Jee is the second name of cunningness and she has no qualms about it. She wants to marry Vipin’s daughter Isha (Sanah Kapoor) off to a wealthy Sindhi family, headed by Harry Fandwani (Sanjay Kapoor).""",movie
"""Sometimes, it pretends to raise an issue, but then shies away from dealing with it. Let me introduce you to the basic premise of the film which mistakes Sindhis for a community of money minded devils.""",movie
Director Vikas Bahl’s Shaandaar--promoted as India’s first destination wedding film--relies more on the youthful appeal of its lead actors than a tight screenplay.,movie
"""again kind of copy kind of movie, and vikas bahl has gone down with ideas ....""",movie
"""I never expected this from the vikas bahl wht a bakwas movie he made really shame on you guy you took best actors like shahid,pankaj kapoor ,alia bhatt you have wonderful budget but wht comes frm you is very disgusting i lost my money time and also my hope too.......""",movie
"""Same type of movies in boollywood .. wedding , Partner swaps , Foreign countries.. Ridicilous""",movie
Very bad movie..,movie
Nice,movie
better than Roy and RGV Aag :D,movie
very poor ratings a boring movie dont go,movie
The movie is a bible for any one who want to be in a relation,movie
nice,movie
Dumb,movie
Ridiculous and no sense at all..Dont understand how the lead actors accepted such movie,movie
Such a Bakwaas movie...Don't waste your time to watch this movie,movie
Please return my 150 bugs,movie
Average moview !! Story seems predictable as you keep on watching it. As stroy proceeds you will be able to judge what is going to come next ! You can watch it you don't have anything left to watch.,movie
This a movie made only to undress one heroine. Pointless movie.,movie
Keep ur brain aside while watching the movie.....,movie
bekaarrrr,movie
Cant make it better ?,movie
average,movie
this is a good movie and a relaxing movie. you can see and enjoy but there is one thing that we all can learn is we should not purchase our relationships for money it will not work,movie
go watch this movie if you are insomniac. You may get a good sleep,movie
"""worst movie,""",movie
full waste of time,movie
Just for aliya......,movie
